name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
MESCE,133114,117,0.04,89033.15,98.29,(S),0.00,0.00,0.00,(S)
MESE,133114,117,0.04,89033.19,87.18,(S),(S),0.00,(S),7.69
MEYE,133114,117,0.04,89033.23,87.18,4.27,(S),0.00,4.27,(S)
MICHOLS,133114,117,0.04,89033.28,83.76,11.97,0.00,0.00,(S),(S)
MIGURA,133114,117,0.04,89033.32,95.73,0.00,0.00,0.00,0.00,4.27
MILOSER,133114,117,0.04,89033.36,96.58,(S),0.00,0.00,(S),0.00
MINAUDO,133114,117,0.04,89033.41,99.15,0.00,0.00,0.00,(S),(S)
MIRANI,133114,117,0.04,89033.45,49.57,(S),41.88,0.00,5.98,(S)
MIRANO,133114,117,0.04,89033.49,11.97,(S),26.50,0.00,(S),60.68
MISCHLEY,133114,117,0.04,89033.54,99.00,0.00,0.00,0.00,0.00,0.00
MISHAN,133114,117,0.04,89033.58,85.47,11.97,(S),(S),0.00,(S)
MIZIKAR,133114,117,0.04,89033.62,99.00,0.00,0.00,0.00,0.00,0.00
MLINARCIK,133114,117,0.04,89033.67,99.15,0.00,(S),0.00,0.00,(S)
MOCADLO,133114,117,0.04,89033.71,99.00,0.00,0.00,0.00,0.00,0.00
MOHAMEDALI,133114,117,0.04,89033.75,25.64,33.33,24.79,(S),15.38,(S)
MOMA,133114,117,0.04,89033.80,66.67,20.51,5.13,(S),(S),5.13
MONDINE,133114,117,0.04,89033.84,52.99,41.03,(S),0.00,(S),5.13
MONSEGUR,133114,117,0.04,89033.88,33.33,(S),0.00,5.98,(S),57.26
MORACCO,133114,117,0.04,89033.93,91.45,0.00,(S),0.00,4.27,(S)
MOROSS,133114,117,0.04,89033.97,93.16,(S),(S),0.00,(S),(S)
MOSICH,133114,117,0.04,89034.01,97.44,(S),0.00,0.00,(S),(S)
MOSIO,133114,117,0.04,89034.06,88.03,(S),0.00,0.00,10.26,(S)
MOSZKOWICZ,133114,117,0.04,89034.10,95.73,0.00,0.00,0.00,0.00,4.27
